text,title,cleaned_data
"The little blue roller on the trackball interior is probably rubbing
against its support, just push it down the pin so that it no longer
touches it.  I had a similar problem.",comp.sys.mac.hardware,the little blue roller on the trackball interior is probably rubbing against its support just push it down the pin so that it no longer touches it i had a similar problem
"
  What you need is a hardware router such as EtherRoute/TCP made by
Compatable Systems ($1400).  This will allow you to connect your Localtalk
network (4 Macs) to your Ethernet network (NeXT and Ethernet Mac).  It will
route TCP/IP protocol between the two networks.  Software routers are also
available for less money, but I'm not sure if they work with TCP/IP.",comp.sys.mac.hardware,what you need is a hardware router such as etherroute tcp made by compatable systems this will allow you to connect your localtalk network macs to your ethernet network next and ethernet mac it will route tcp ip protocol between the two networks software routers are also available for less money but i m not sure if they work with tcp ip
"


Joe;

Your logic excapes me. 

If the Papacy is infallible, and this is a matter of faith, then the 
Pope cannot ""be wrong!""  If, on the other hand, this is not a matter 
of faith, but a matter of Church law, then we should still obey as the
Pope is the legal head of the church.

In other words, given the doctrine of infallibility, we have no choice
but to obey.

Bob

-- 
Bob Van Cleef              Peace -0- be      revc@garg.Campbell.CA.US
The Land of Garg BBS        unto /|\ you           BBS (408) 378-5108
",soc.religion.christian,joe your logic excapes me if the papacy is infallible and this is a matter of faith then the pope cannot be wrong if on the other hand this is not a matter of faith but a matter of church law then we should still obey as the pope is the legal head of the church in other words given the doctrine of infallibility we have no choice but to obey bob bob van cleef peace be revc garg campbell ca us the land of garg bbs unto you bbs
": 
: >I've got the 6.0 spec (obviously since I quoted it in my last posting). 
: >My gripe about TIFF is that it's far too complicated and nearly
: >infinitely easier to write than to read,...
: 
: Why not use the PD C library for reading/writing TIFF files? It took me a
: good 20 minutes to start using them in your own app.
: 
: Martin
: 
What is the name of this PD C library for TIFF.  I'd like to get a copy of it,
but I can't Archie for something I don't have the filename for.",comp.graphics,i ve got the spec obviously since i quoted it in my last posting my gripe about tiff is that it s far too complicated and nearly infinitely easier to write than to read why not use the pd c library for reading writing tiff files it took me a good minutes to start using them in your own app martin what is the name of this pd c library for tiff i d like to get a copy of it but i can t archie for something i don t have the filename for
"-*----
I think that part of the problem is that I have proposed a
definition of science that I intended to be interpreted broadly
and that Lee Lady has interpreted fairly narrowly.  My definition
is this: Science is the investigation of the empirical that avoids
mistakes in reasoning and methodology discovered from previous


Unless one classifies ""thinking and informal exploration"" as a
mistake, they fall under my definition.  I hope no one would
consider speculation, thinking, and informal exploration as
unscientific.  


Here is where I think we are talking at cross-purposes.  It is not
clear to me that the kind of definition I have proposed should be
taken as describing what ""science is mainly about.""  Consider,
for example, a definition of invertebrates as all animals lacking
a backbone.  This fairly tells what is an invertebrate and
what is not an invertebrate, but it hardly tells you what
invertebrates are all about.  One can read this definition and
still not know that 95% of all animal species are invertebrates,
that invertebrates possess a remarkably broad range of form, that
some invertebrate groups -- such as insects and nematodes -- are
ubiquitous in all ecosystems, etc.  In short, knowing the
definition of invertebrates does *not* tell one what they are
""mainly about.""

The misunderstanding here is my fault.  I did not give sufficient
context for people to understand my proposed definition.


I agree on both counts.  As an example of the second, it would only
take a few cases of curing rabies to convince most veterinarians
that a treatment was effective, despite a lack of controls.  

As to the first, I do not think it is useful to talk about
""absolute scientific truth.""  I think it is more useful to talk
about the kinds of evidence that various claims have and the
kinds of evidence IN PARTICULAR FIELDS that in the past have
proven faulty or reliable.  The latter is obviously a matter of
degree, and in each field, practitioners try to discover the
relevance of different kinds of evidence.  

One of the primary mistakes that marks the advocacy of an idea as
psuedo-science is that the advocacy lacks any sense of proportion
regarding the kinds of evidence related to the proposed claim,
the kinds of evidence that are actually relevant to it, and the
historical reasons in the field that certain kinds of evidence
are given more weight than others.  It is perfectly alright to
speculate.  I have read quite a few refereed papers that
speculated left and right.  But the authors were careful to
identify the notions as speculative, to list what little evidence
was presently available for them, and to describe how research
could proceed to either put the notion on more firm footing or to
uncover its problems.  Often what distinguishes whether a paper
of this sort passes muster is the thoughtfulness with which the
author sets the context and paves the way for future work.  (It
is in this area that many proponents of speculative ideas fail.)


I think a lot of scientists steer away from things that --
deserving or not -- garner a patina of kookiness.  When
proponents of some practice see no value in more careful
investigation of that practice, that sets alarms ringing in many
researchers' minds.  

This is unfortunate, because there is undoubtedly some
intersection between things that are worth investigating and
things that are advocated by those who seem careless or
unreasonable in their advocacy.  On the other hand, I can
understand why many scientists would just as soon select other
directions for research.  As Gordon Banks has pointed out, no one
wants to become this generation's Rhine.


I think this is absurd.  


I wonder why the results were not published.  In my field,
dissertation results are typically summarized in papers that are
submitted to journals.  Often the papers are accepted for
publication before the dissertation is finished.  (This certainly
eases one's defense.)

Finally, I hope Lee Lady will forgive me from commenting either
on NLP or the discussion of it in sci.psychology.  I know little
about either and so have nothing to offer.",sci.med,i think that part of the problem is that i have proposed a definition of science that i intended to be interpreted broadly and that lee lady has interpreted fairly narrowly my definition is this science is the investigation of the empirical that avoids mistakes in reasoning and methodology discovered from previous unless one classifies thinking and informal exploration as a mistake they fall under my definition i hope no one would consider speculation thinking and informal exploration as unscientific here is where i think we are talking at cross purposes it is not clear to me that the kind of definition i have proposed should be taken as describing what science is mainly about consider for example a definition of invertebrates as all animals lacking a backbone this fairly tells what is an invertebrate and what is not an invertebrate but it hardly tells you what invertebrates are all about one can read this definition and still not know that of all animal species are invertebrates that invertebrates possess a remarkably broad range of form that some invertebrate groups such as insects and nematodes are ubiquitous in all ecosystems etc in short knowing the definition of invertebrates does not tell one what they are mainly about the misunderstanding here is my fault i did not give sufficient context for people to understand my proposed definition i agree on both counts as an example of the second it would only take a few cases of curing rabies to convince most veterinarians that a treatment was effective despite a lack of controls as to the first i do not think it is useful to talk about absolute scientific truth i think it is more useful to talk about the kinds of evidence that various claims have and the kinds of evidence in particular fields that in the past have proven faulty or reliable the latter is obviously a matter of degree and in each field practitioners try to discover the relevance of different kinds of evidence one of the primary mistakes that marks the advocacy of an idea as psuedo science is that the advocacy lacks any sense of proportion regarding the kinds of evidence related to the proposed claim the kinds of evidence that are actually relevant to it and the historical reasons in the field that certain kinds of evidence are given more weight than others it is perfectly alright to speculate i have read quite a few refereed papers that speculated left and right but the authors were careful to identify the notions as speculative to list what little evidence was presently available for them and to describe how research could proceed to either put the notion on more firm footing or to uncover its problems often what distinguishes whether a paper of this sort passes muster is the thoughtfulness with which the author sets the context and paves the way for future work it is in this area that many proponents of speculative ideas fail i think a lot of scientists steer away from things that deserving or not garner a patina of kookiness when proponents of some practice see no value in more careful investigation of that practice that sets alarms ringing in many researchers minds this is unfortunate because there is undoubtedly some intersection between things that are worth investigating and things that are advocated by those who seem careless or unreasonable in their advocacy on the other hand i can understand why many scientists would just as soon select other directions for research as gordon banks has pointed out no one wants to become this generation s rhine i think this is absurd i wonder why the results were not published in my field dissertation results are typically summarized in papers that are submitted to journals often the papers are accepted for publication before the dissertation is finished this certainly eases one s defense finally i hope lee lady will forgive me from commenting either on nlp or the discussion of it in sci psychology i know little about either and so have nothing to offer
"
I've gotten migraines after exercise, though for me it seems to be related
to exercising without having eaten recently.  ",sci.med,i ve gotten migraines after exercise though for me it seems to be related to exercising without having eaten recently
"
Of course if this question was asked in a group dealing with economics,
the answer would be that the cause of war was economic. My observations
over the past 30 years (and not withstanding a little history reading
beside) is that while religious differences do play a part in many of
the conflicts, so does (unfortunately) race, economics and any other
items that identify one group of men as being different from another.

If we want to couch the cause of conflict in Christian terms, I would
put it while Christ died for our sins, we are yet sinners. While some
individuals assume ""Christlike"" natures, most of us do not even
come close.

I realize that in many ways this is a trite answer, but I guess that
it is my way of rationalizing man's constant (or so it seems)
conflict.


---------------------------------------------------------------------",soc.religion.christian,of course if this question was asked in a group dealing with economics the answer would be that the cause of war was economic my observations over the past years and not withstanding a little history reading beside is that while religious differences do play a part in many of the conflicts so does unfortunately race economics and any other items that identify one group of men as being different from another if we want to couch the cause of conflict in christian terms i would put it while christ died for our sins we are yet sinners while some individuals assume christlike natures most of us do not even come close i realize that in many ways this is a trite answer but i guess that it is my way of rationalizing man s constant or so it seems conflict
"

 [More stuff deleted]

This seems to be a pretty arogant definition of belief.  My beliefs
are those things which I find to be true based on my experience of the
world.  This experience includes study of things that I may not have
experienced directly.  But even then, I can only understand the
studies to the extent to which I can relate what I study back to what
I have experienced.

Which means that by beliefs about God are directly related to my
experience of God.  Having experienced God, I try to make sense of
that experience.  I study religion and read the Bible.  I find things
that echo what I have already experienced.  Out of this I build my
beliefs.  I also find things that don't match my experience.  That
doesn't make them false.  They just don't match my experience.  Maybe
I will understand that stuff later.  I don't know.  Maybe all of my
beliefs are wrong.  I can change my beliefs.

If someone else has beliefs that are different from mine, so what.
Neither of us are necessarily wrong.  Someone else is making sense out
of a different set of experiences.  Even though we have different
explanations and beliefs, if we talk we might even discover that the
underlying experiences are similar.

Some people approach religion as a truth that can only exist in one
form, and usually has a single revelation.  The more dogmatic and
inflexible the belief system, the more arrogant it will appear to an
outsider.  There is another approach possible, however.  God is a
mystery.  I am trying to solve the mystery, so I look at the evidence
available to me.  I try to arrive at the best understanding that I can
based on the evidence.  New evidence may cause me to change my
understanding.  When I encounter someone with a different belief than
my own, it isn't a threat, it is an opportunity to perhaps discover
something new about this mystery I can never fully comprehend.

Peace
Will Taber
---------------------------------------------------------------------------- ",soc.religion.christian,more stuff deleted this seems to be a pretty arogant definition of belief my beliefs are those things which i find to be true based on my experience of the world this experience includes study of things that i may not have experienced directly but even then i can only understand the studies to the extent to which i can relate what i study back to what i have experienced which means that by beliefs about god are directly related to my experience of god having experienced god i try to make sense of that experience i study religion and read the bible i find things that echo what i have already experienced out of this i build my beliefs i also find things that don t match my experience that doesn t make them false they just don t match my experience maybe i will understand that stuff later i don t know maybe all of my beliefs are wrong i can change my beliefs if someone else has beliefs that are different from mine so what neither of us are necessarily wrong someone else is making sense out of a different set of experiences even though we have different explanations and beliefs if we talk we might even discover that the underlying experiences are similar some people approach religion as a truth that can only exist in one form and usually has a single revelation the more dogmatic and inflexible the belief system the more arrogant it will appear to an outsider there is another approach possible however god is a mystery i am trying to solve the mystery so i look at the evidence available to me i try to arrive at the best understanding that i can based on the evidence new evidence may cause me to change my understanding when i encounter someone with a different belief than my own it isn t a threat it is an opportunity to perhaps discover something new about this mystery i can never fully comprehend peace will taber
"
1: ""90% of diseases"" is not the same thing as ""90% of patients"".

   In a world with one curable disease that strikes 100 people, and nine
   incurable diseases which strikes one person each, medical science will cure
   91% of the patients and report that 90% of diseases have no therapy.

2: A disease would be counted among the 90% untreatable if nothing better than
   a placebo were known.  Of course MDs are ethically bound to not knowingly
   dispense placebos...",sci.med,of diseases is not the same thing as of patients in a world with one curable disease that strikes people and nine incurable diseases which strikes one person each medical science will cure of the patients and report that of diseases have no therapy a disease would be counted among the untreatable if nothing better than a placebo were known of course mds are ethically bound to not knowingly dispense placebos
"*******
*******  This is somewhat long, but pleas read it!!!!!!!!!!!!!!!!!
*******



Boy am i glad you decided to read this. I've got a problem that 
I need as many people's help from as possible.

Before I go in to the details of this, let me go ahead and tell
you that (though it may sound it) this is not one of those boy
meets girl problem...at least not totally like that to me....Anyway...

OK, I am a 19 year old Sophmore at NCSU. About 10 years ago, my family
and I were vacationing at the coast in a cottage we rented. Across the
street, was ths girl who would whistle at me whenever she saw me...
her name in Erin. Well, we became friends that week at the beach and have
been writing each other for about 10 years....there was a period of about
2 years we lost contact..but that was a while ago. 

By the way...Erin lives in Kansas and me in NC.

OK, last year in one of her letters, she says that she is coming
back to NC to see some of her family who are gonna be there. So I
drove about 4 hours to see her. This is where it begins....I spent
the whole day with Erin....one of the best days of my life. Even though
we had been writing each other, we still had to get used to being
in person....she has got to be the most incredible woman I ever met.
(She's one year older than me BTW). I mean, no person in the world could
ask for a better person. Not only was she incredibly beautiful (not to 
mention WAY out of my league...although I'm  not unattractive mind you), but
she had a great personality and a great sence of humor. Her family
is one of those families who goes to church but that is about the
extent of their Christianity...you know the kind of people. But she
knows I am a Christian. 

Well, you get the idea of what I think of her. If there is ever such
a thing as love at first sight....I found it. That was last year...I kid
you not when I say that I have thought about her EVERY day since then.

In out letters, Erin and I always kid each other about not finding
dates..(which is true for me, but I know it can't be for her).
She has had some problems at home, her folks split up and she ended
up leaving school....Now we are at the present...

Let me give you part of the letter I got from her last week....


""Okay, now I'm going to try to explain my life to you. I'm not
going to KU anymore because something just isn't right. College
just wasn't clicking with me here. Greek life is really big here and
that just isn't my way. I wasn't taking any classes that truly interested
me & i really have no idea of what i want to do with my life. I was
interested in something medical (Physical Therpy) & I love working with 
kids, but 'it' just didn't work for me at this university. And my parents
could tell.

""So I'm working full time at the Bass Store [Bass shoes that is] and now
I have a part-time job at a local daycare. I work in the infant room
M-W-F. I've really enjoyed it so far. It spices up my week a little bit and 
it's great experience.

""As of now, I'm not planning on going back to school in the very
near future. The main reason being my indecision on what I want to
study. But I definatley plan on going back within the next couple of
years. Where? I have no idea--except for one thing, it won't be
to Kansas.

""Right noew I'm discussing a promotion with my boss and district 
manager. It looks like I'll train at the store I work at now for
about 4-6 months as Assistant Manager and when that's done, I'll 
basically be given a list of stores (newly or soon to be built) to 
chose where i would like to manage. I've pretty much decided on either
one of the Carolinas (hopeully close to the beach) Wouldn't it
be fun to actually see each other more than once every few years??
What do you think abou that? I would like to know your opinion.

""This job would pretty much be temporary. But it is VERY GOOD pay
and any thye of management experience would look good on an application
or resume. The company is solid and treats it employees very well. Good
benefits, bonuses & medical plans. Plus- after 1 year of full-time
service, they will reimburse tuition. I do have school money waitng
for me, but this will help, especially since I will probably end up 
paying out of state tuition wherever I go.

""Chris, i really would like to know what you think of my decision. I 
respect your opinion. I've been completely lost for what to do for 
soooo long that when the opportunity came along it sounded really 
good. I do like my job although I'm about 99.9% sure that i want
to do more with my life than reatil management..but it IS something.
I don't think earning about $20,000 a year for a 20 year old female
is too bad. 

""Anyway, onto your career decisions. I'll solve your problem right now,
MARRY ME...

""You can do your pilot thing-- I like to be by myself sometimes! Seriously
(or not as seriously)- do what will make you the happiest, worry about the
home life later.""

***********

OK, well I'm sure you see what has got me so uptight. What do you
think she meant about the marraige thing?? 

I dream at night about marrying her, and then she mentions it in her
letter!!! I don't know what to think??

Since she wants to move to the Carolina's should i search out a 
Bass store near here and aske her to come to Carolina???

I always pick on those people who graduate from high school and
get married....but what does she mean??? 

I've had a lot of stress lately with exams and also the fact that 
I don't date beacause 1) No time  2) Not that much $$ 3) that
most college women are wrapped up in the social scene with  the
Greeks whic as a Christian I can't support-----and here
she says she doesn't like the Greek thing either!!

Maybe I'm so stunned because there is actually a girl that I am
so attracted to paying some real attention to me.

I mean, what if she did move to NC...what would I do??? I'm
only 19 and she 20....I'm only a Sophmore struggling through
classes..

I have prayed about this over the past year from time to time..
saying, ""God if she is the right one, let the situation open up..""

Could this be my sign???

I would do ANYTHING to get her to NC...here is some moree that makes 
it worse..

Should I call her?? I'm terrible over the phone. I don't even like
to talk to my friends here for longer than 3 minutes.

I mean, what would a girl as perfect as her want with a very
average guy like me??

I'm really confused....I would really appreciate any help i can get.

Thanx 

Chris",soc.religion.christian,this is somewhat long but pleas read it boy am i glad you decided to read this i ve got a problem that i need as many people s help from as possible before i go in to the details of this let me go ahead and tell you that though it may sound it this is not one of those boy meets girl problem at least not totally like that to me anyway ok i am a year old sophmore at ncsu about years ago my family and i were vacationing at the coast in a cottage we rented across the street was ths girl who would whistle at me whenever she saw me her name in erin well we became friends that week at the beach and have been writing each other for about years there was a period of about years we lost contact but that was a while ago by the way erin lives in kansas and me in nc ok last year in one of her letters she says that she is coming back to nc to see some of her family who are gonna be there so i drove about hours to see her this is where it begins i spent the whole day with erin one of the best days of my life even though we had been writing each other we still had to get used to being in person she has got to be the most incredible woman i ever met she s one year older than me btw i mean no person in the world could ask for a better person not only was she incredibly beautiful not to mention way out of my league although i m not unattractive mind you but she had a great personality and a great sence of humor her family is one of those families who goes to church but that is about the extent of their christianity you know the kind of people but she knows i am a christian well you get the idea of what i think of her if there is ever such a thing as love at first sight i found it that was last year i kid you not when i say that i have thought about her every day since then in out letters erin and i always kid each other about not finding dates which is true for me but i know it can t be for her she has had some problems at home her folks split up and she ended up leaving school now we are at the present let me give you part of the letter i got from her last week okay now i m going to try to explain my life to you i m not going to ku anymore because something just isn t right college just wasn t clicking with me here greek life is really big here and that just isn t my way i wasn t taking any classes that truly interested me i really have no idea of what i want to do with my life i was interested in something medical physical therpy i love working with kids but it just didn t work for me at this university and my parents could tell so i m working full time at the bass store bass shoes that is and now i have a part time job at a local daycare i work in the infant room m w f i ve really enjoyed it so far it spices up my week a little bit and it s great experience as of now i m not planning on going back to school in the very near future the main reason being my indecision on what i want to study but i definatley plan on going back within the next couple of years where i have no idea except for one thing it won t be to kansas right noew i m discussing a promotion with my boss and district manager it looks like i ll train at the store i work at now for about months as assistant manager and when that s done i ll basically be given a list of stores newly or soon to be built to chose where i would like to manage i ve pretty much decided on either one of the carolinas hopeully close to the beach wouldn t it be fun to actually see each other more than once every few years what do you think abou that i would like to know your opinion this job would pretty much be temporary but it is very good pay and any thye of management experience would look good on an application or resume the company is solid and treats it employees very well good benefits bonuses medical plans plus after year of full time service they will reimburse tuition i do have school money waitng for me but this will help especially since i will probably end up paying out of state tuition wherever i go chris i really would like to know what you think of my decision i respect your opinion i ve been completely lost for what to do for soooo long that when the opportunity came along it sounded really good i do like my job although i m about sure that i want to do more with my life than reatil management but it is something i don t think earning about a year for a year old female is too bad anyway onto your career decisions i ll solve your problem right now marry me you can do your pilot thing i like to be by myself sometimes seriously or not as seriously do what will make you the happiest worry about the home life later ok well i m sure you see what has got me so uptight what do you think she meant about the marraige thing i dream at night about marrying her and then she mentions it in her letter i don t know what to think since she wants to move to the carolina s should i search out a bass store near here and aske her to come to carolina i always pick on those people who graduate from high school and get married but what does she mean i ve had a lot of stress lately with exams and also the fact that i don t date beacause no time not that much that most college women are wrapped up in the social scene with the greeks whic as a christian i can t support and here she says she doesn t like the greek thing either maybe i m so stunned because there is actually a girl that i am so attracted to paying some real attention to me i mean what if she did move to nc what would i do i m only and she i m only a sophmore struggling through classes i have prayed about this over the past year from time to time saying god if she is the right one let the situation open up could this be my sign i would do anything to get her to nc here is some moree that makes it worse should i call her i m terrible over the phone i don t even like to talk to my friends here for longer than minutes i mean what would a girl as perfect as her want with a very average guy like me i m really confused i would really appreciate any help i can get thanx chris
"
I am trying to put a 40MB drive from my LC into a case.  It is a Conner
CP3040A.  I can't figure out which jumpers are the SCSI ID jumpers.
Is anyone familiar with this drive?

At the end of the drive (oposite the 50 pin pibbon connector), there
are eleven pins which look like this:


        o o o o o   o   1
          o o o o   o   2

         L5  CR12   C37

where the ""o"" are pins, and the ""L5 CR12 C37"" represent some of the
silk screen notation near these pins.

Elsewhere on the board there are four jumper pads marked E1,E2,E3,E4
on the silk screen.

Does anyone know where the SCSI ID A0,A1,A2 pins are, and where the
drive activity light LED should be plugged into?

		-allan",comp.sys.mac.hardware,i am trying to put a mb drive from my lc into a case it is a conner cp a i can t figure out which jumpers are the scsi id jumpers is anyone familiar with this drive at the end of the drive oposite the pin pibbon connector there are eleven pins which look like this o o o o o o o o o o o l cr c where the o are pins and the l cr c represent some of the silk screen notation near these pins elsewhere on the board there are four jumper pads marked e e e e on the silk screen does anyone know where the scsi id a a a pins are and where the drive activity light led should be plugged into allan
"To what follows, our moderator has already answered the charge of 
arrogance more ably that I could have done so, so I will confine
myself to answering the charge of illogic.
 


This is how everyone in the western intellectual tradition is, or was,
taught to think. It is the fundamental premis ""A is not not-A"". If a thing
is true then its converse is necessarilly false. Without this basic 
asumption theology and science as we know them are alike impossible. We
should distinguish the strong and weak meanings of the word ""believe"",
however. The weak sense means I am not sure. ""I believe Tom went to 
the library."" (but he could have gone to the track). The strong sense
means I am so certain that I use it as a basis of thought. ""I believe 
that nature operates according to certain fundamental laws."" (despite 
the fact that nature *appears* capricious and unpredictable). Christian
belief is of the strong kind. (Though Christians may well hold beliefs
of the weak kind on any number of theological and ecclesiological 
topics.)
 

Note that these are two separate ideas. Most hold the first view, but the 
majority do not hold the second. Is is again a matter of pure logic that
if Christanity is true, then Hinduism (for example) must necessarilly be
false, insofar as it contradicts or is incompatible with, Christaianity. 
(And, as a matter of *logic*, vice versa.)
 

It is arrogant to claim to know what *anyone* thinks or wants, unless 
they have told you. Christians believe God has told us what he thinks
and wants.


Most Christians do not base their belief on the Bible, but on the living
tradition of the Church established by Christ and guided constantly
by the Holy Spirit. The Bible is simply the written core of that tradition.


If depends what you mean by differing. If I believe Tom is six feet
tall and you believe he weighs 200 pounds, our beliefs differ, but we 
may both be right. If I believe Tom is six feet tall and you beleive
that he is four foot nine, one of us, at least, must be wrong.
 

Thus you believe that there is a single truth but that no human being 
can find it. You assert that anyone who believe that we can find 
absolute truth is mistaken. In short, you believe that anyone who
does not share your belief on this point is wrong. QED.


Here I begin to suspect that your real difficulty is not with the
knowability of truth, but simply with language. Saying that the glass 
is half empty is not a contradiction of the statement that it is half
full: it is the same fact expressed in different words. (The whole
point of this phrase is to illustrate the different ways the pessimist
and the optimist express the *same* fact.)
 
It is, of course, quite true that different people may express the 
same belief in different words. It is also true that they may fail
to understand each other's words as expressions of the same belief
and may argue bitterly and believe that they are miles apart. Great
scisms have occurred in just this way, and much ecumenical work has
been done simply in resolving differences in language which conceal
agreement in belief. This does not mean, in any sense, that all beliefs
are equally valid. Since some of the beliefs people hold contradict
some other beliefs that other people hold, after all obfuscations
of language and culture in the expression of those beliefs have
been stripped away, some of the beliefs that some people hold must,
**necessarilly** be false, and it is neither arrogant nor illogical
to say so. If I believe X and you believe Y we may both be correct, 
but if Y is equivalent to not-X then one of us is wrong and as long
as we hold our respective beliefs, we must each regard the other 
as in error.",soc.religion.christian,to what follows our moderator has already answered the charge of arrogance more ably that i could have done so so i will confine myself to answering the charge of illogic this is how everyone in the western intellectual tradition is or was taught to think it is the fundamental premis a is not not a if a thing is true then its converse is necessarilly false without this basic asumption theology and science as we know them are alike impossible we should distinguish the strong and weak meanings of the word believe however the weak sense means i am not sure i believe tom went to the library but he could have gone to the track the strong sense means i am so certain that i use it as a basis of thought i believe that nature operates according to certain fundamental laws despite the fact that nature appears capricious and unpredictable christian belief is of the strong kind though christians may well hold beliefs of the weak kind on any number of theological and ecclesiological topics note that these are two separate ideas most hold the first view but the majority do not hold the second is is again a matter of pure logic that if christanity is true then hinduism for example must necessarilly be false insofar as it contradicts or is incompatible with christaianity and as a matter of logic vice versa it is arrogant to claim to know what anyone thinks or wants unless they have told you christians believe god has told us what he thinks and wants most christians do not base their belief on the bible but on the living tradition of the church established by christ and guided constantly by the holy spirit the bible is simply the written core of that tradition if depends what you mean by differing if i believe tom is six feet tall and you believe he weighs pounds our beliefs differ but we may both be right if i believe tom is six feet tall and you beleive that he is four foot nine one of us at least must be wrong thus you believe that there is a single truth but that no human being can find it you assert that anyone who believe that we can find absolute truth is mistaken in short you believe that anyone who does not share your belief on this point is wrong qed here i begin to suspect that your real difficulty is not with the knowability of truth but simply with language saying that the glass is half empty is not a contradiction of the statement that it is half full it is the same fact expressed in different words the whole point of this phrase is to illustrate the different ways the pessimist and the optimist express the same fact it is of course quite true that different people may express the same belief in different words it is also true that they may fail to understand each other s words as expressions of the same belief and may argue bitterly and believe that they are miles apart great scisms have occurred in just this way and much ecumenical work has been done simply in resolving differences in language which conceal agreement in belief this does not mean in any sense that all beliefs are equally valid since some of the beliefs people hold contradict some other beliefs that other people hold after all obfuscations of language and culture in the expression of those beliefs have been stripped away some of the beliefs that some people hold must necessarilly be false and it is neither arrogant nor illogical to say so if i believe x and you believe y we may both be correct but if y is equivalent to not x then one of us is wrong and as long as we hold our respective beliefs we must each regard the other as in error
"Original to: szabo@techbook.com
G'day szabo@techbook.com

29 Mar 93 07:28, szabo@techbook.com wrote to All:

 sc> szabo@techbook.com (Nick Szabo), via Kralizec 3:713/602

 sc> Here are some longer-term markets to consider:

Here are some more:

* Terrestrial illumination from orbiting mirrors.

* World enviroment and disaster monitering system. (the Japanese have
already developed a plan for this, called WEDOS) Although this may be more
of a ""public good"".

* Space tourism.

* Energy relay satellites

ta

Ralph",sci.space,original to szabo techbook com g day szabo techbook com mar szabo techbook com wrote to all sc szabo techbook com nick szabo via kralizec sc here are some longer term markets to consider here are some more terrestrial illumination from orbiting mirrors world enviroment and disaster monitering system the japanese have already developed a plan for this called wedos although this may be more of a public good space tourism energy relay satellites ta ralph
"I appreciated the follow-ups and replies to my earlier query.  One reply, which
I have lost, suggested several parishes in New York that have good Masses, one 
of which was Corpus Christi in downtown Manhattan.  By coincidence, last week's
_America_, the national Jesuit magazine, carried an interview with Fr. Myles 
Bourke, Corpus Christi's pastor emeritus.  Fr. Bourke also directed the NT 
translation in the New American Bible.  He noted ""...certain practices have 
been introduced into the Mass in such a manner that an atmosphere of banality, 
and sometimes of hilarity, has trivialized the liturgy.""  I note that at my 
parents' parish on Easter, helium filled balloons were distributed at the 
offertory, apparently to aid in understanding the word ""risen"".  This was not a 
kiddie mass, either, but the well-attended 11:00 Mass.

I wanted to note the generous spirit behind the replies.  This newsgroup as a
whole offers generally moderate (perhaps because it's moderated) conversation
on topics that often lead people to extreme behavior (including myself).
Sometimes people do go over the top, but the remarkable thing is how that is
the exception, I think.  Benefits of the doubt are generally granted.  It seems
so...Christian?",soc.religion.christian,i appreciated the follow ups and replies to my earlier query one reply which i have lost suggested several parishes in new york that have good masses one of which was corpus christi in downtown manhattan by coincidence last week s america the national jesuit magazine carried an interview with fr myles bourke corpus christi s pastor emeritus fr bourke also directed the nt translation in the new american bible he noted certain practices have been introduced into the mass in such a manner that an atmosphere of banality and sometimes of hilarity has trivialized the liturgy i note that at my parents parish on easter helium filled balloons were distributed at the offertory apparently to aid in understanding the word risen this was not a kiddie mass either but the well attended mass i wanted to note the generous spirit behind the replies this newsgroup as a whole offers generally moderate perhaps because it s moderated conversation on topics that often lead people to extreme behavior including myself sometimes people do go over the top but the remarkable thing is how that is the exception i think benefits of the doubt are generally granted it seems so christian
"The Apollo astronauts also trained at (in) Meteor Crater in the Flagstaff
area (Arizona).  There is now a museum with a space shop.
Caution: they ease you by 6$. Compared to a KSC visit it's not worth.",sci.space,the apollo astronauts also trained at in meteor crater in the flagstaff area arizona there is now a museum with a space shop caution they ease you by compared to a ksc visit it s not worth
"

So they should sue the newspaper I got it from for printing it.
The article didn't say anything about copyrights.

Louis
",comp.graphics,so they should sue the newspaper i got it from for printing it the article didn t say anything about copyrights louis
"

Is it a hidden option?  I'm using PowerStrip 2.0 (by Mr. Caputo) right now
and can't find any quick discharge option.  It definitely is on
mac.archive.umich.edu 'cause I submitted it! ",comp.sys.mac.hardware,is it a hidden option i m using powerstrip by mr caputo right now and can t find any quick discharge option it definitely is on mac archive umich edu cause i submitted it
"
xgif is the grandfather of XV.

-- ",comp.graphics,xgif is the grandfather of xv
"Thanks Ron and Peter for some very nice maps.

I have an advice though.  You wrote that the maps were reduced to 256
colors.  As far ad I understand JPEG pictures gets much better (and
the compressed files smaller) if you use the original 3 color 24 bit
data when converting to JPEG.

Thanks again,
",sci.space,thanks ron and peter for some very nice maps i have an advice though you wrote that the maps were reduced to colors as far ad i understand jpeg pictures gets much better and the compressed files smaller if you use the original color bit data when converting to jpeg thanks again
"This is turning into 'what's a moonbase good for', and I ought
not to post when I've a hundred some odd posts to go, but I would
think that the real reason to have a moon base is economic.

Since someone with space industry will presumeably have a much
larger GNP than they would _without_ space industry, eventually,
they will simply be able to afford more stuff.",sci.space,this is turning into what s a moonbase good for and i ought not to post when i ve a hundred some odd posts to go but i would think that the real reason to have a moon base is economic since someone with space industry will presumeably have a much larger gnp than they would without space industry eventually they will simply be able to afford more stuff
